"CurrentLinkNum:vector Network.radioMedium ($numSectors=8, $rangeMultipleMax=4, #0 - LinkMaintain-10-20241203-20:28:56-28972)",,"CurrentLinkNum:vector Network.radioMedium ($numSectors=8, $rangeMultipleMax=4, #1 - LinkMaintain-11-20241204-02:42:50-28972)",,"CurrentLinkNum:vector Network.radioMedium ($numSectors=8, $rangeMultipleMax=4, #2 - LinkMaintain-12-20241203-20:28:56-34216)",,"CurrentLinkNum:vector Network.radioMedium ($numSectors=8, $rangeMultipleMax=4, #3 - LinkMaintain-13-20241204-02:28:52-34216)",,"CurrentLinkNum:vector Network.radioMedium ($numSectors=8, $rangeMultipleMax=4, #4 - LinkMaintain-14-20241203-20:28:56-8956)",,"CurrentLinkNum:vector Network.radioMedium ($numSectors=8, $rangeMultipleMax=4, #5 - LinkMaintain-15-20241204-02:14:33-8956)",,"CurrentLinkNum:vector Network.radioMedium ($numSectors=8, $rangeMultipleMax=4, #6 - LinkMaintain-16-20241203-20:28:56-24684)",,"CurrentLinkNum:vector Network.radioMedium ($numSectors=8, $rangeMultipleMax=4, #7 - LinkMaintain-17-20241204-02:24:57-24684)",,"CurrentLinkNum:vector Network.radioMedium ($numSectors=8, $rangeMultipleMax=4, #8 - LinkMaintain-18-20241203-20:28:56-43280)",,"CurrentLinkNum:vector Network.radioMedium ($numSectors=8, $rangeMultipleMax=4, #9 - LinkMaintain-19-20241204-01:59:01-43280)",
0,822,0,732,0,720,0,634,0,680,0,700,0,744,0,788,0,704,0,674
0.09,822,0.09,732,0.09,720,0.09,634,0.09,680,0.09,700,0.09,744,0.09,788,0.09,704,0.09,674
0.19,822,0.19,732,0.19,720,0.19,634,0.19,680,0.19,700,0.19,744,0.19,788,0.19,704,0.19,674
0.29,822,0.29,732,0.29,720,0.29,634,0.29,680,0.29,700,0.29,744,0.29,788,0.29,704,0.29,674
0.39,822,0.39,732,0.39,720,0.39,634,0.39,680,0.39,700,0.39,744,0.39,788,0.39,704,0.39,674
0.49,822,0.49,732,0.49,720,0.49,634,0.49,680,0.49,700,0.49,744,0.49,788,0.49,704,0.49,674
0.59,822,0.59,732,0.59,720,0.59,634,0.59,680,0.59,700,0.59,744,0.59,786,0.59,704,0.59,674
0.69,822,0.69,732,0.69,720,0.69,634,0.69,680,0.69,700,0.69,744,0.69,786,0.69,704,0.69,674
0.79,822,0.79,732,0.79,720,0.79,634,0.79,680,0.79,700,0.79,744,0.79,786,0.79,704,0.79,674
0.89,822,0.89,732,0.89,720,0.89,634,0.89,680,0.89,700,0.89,744,0.89,786,0.89,704,0.89,674
0.99,822,0.99,732,0.99,720,0.99,634,0.99,680,0.99,700,0.99,744,0.99,786,0.99,704,0.99,674
1.09,822,1.09,732,1.09,720,1.09,634,1.09,680,1.09,700,1.09,744,1.09,786,1.09,704,1.09,674
1.19,822,1.19,732,1.19,720,1.19,634,1.19,680,1.19,700,1.19,744,1.19,786,1.19,704,1.19,674
1.29,822,1.29,732,1.29,720,1.29,634,1.29,678,1.29,700,1.29,744,1.29,786,1.29,704,1.29,674
1.39,822,1.39,732,1.39,720,1.39,634,1.39,678,1.39,700,1.39,744,1.39,786,1.39,704,1.39,674
1.49,822,1.49,732,1.49,720,1.49,634,1.49,678,1.49,700,1.49,744,1.49,786,1.49,704,1.49,674
1.59,822,1.59,732,1.59,720,1.59,634,1.59,678,1.59,700,1.59,744,1.59,786,1.59,704,1.59,674
1.69,822,1.69,732,1.69,720,1.69,634,1.69,678,1.69,700,1.69,744,1.69,786,1.69,704,1.69,674
1.79,822,1.79,732,1.79,720,1.79,634,1.79,678,1.79,700,1.79,744,1.79,786,1.79,704,1.79,674
1.89,822,1.89,732,1.89,720,1.89,634,1.89,678,1.89,700,1.89,744,1.89,786,1.89,704,1.89,674
1.99,822,1.99,732,1.99,720,1.99,634,1.99,678,1.99,700,1.99,744,1.99,786,1.99,704,1.99,674
2.09,822,2.09,732,2.09,720,2.09,634,2.09,678,2.09,700,2.09,744,2.09,786,2.09,704,2.09,674
2.19,822,2.19,732,2.19,720,2.19,634,2.19,678,2.19,700,2.19,744,2.19,786,2.19,702,2.19,674
2.29,822,2.29,732,2.29,720,2.29,634,2.29,678,2.29,700,2.29,744,2.29,786,2.29,702,2.29,674
2.39,822,2.39,732,2.39,720,2.39,634,2.39,678,2.39,700,2.39,744,2.39,786,2.39,702,2.39,674
2.49,822,2.49,732,2.49,720,2.49,634,2.49,678,2.49,700,2.49,744,2.49,786,2.49,702,2.49,674
2.59,822,2.59,732,2.59,720,2.59,634,2.59,678,2.59,700,2.59,744,2.59,786,2.59,702,2.59,674
2.69,822,2.69,732,2.69,720,2.69,634,2.69,678,2.69,700,2.69,744,2.69,786,2.69,702,2.69,674
2.79,822,2.79,732,2.79,720,2.79,634,2.79,678,2.79,700,2.79,744,2.79,786,2.79,702,2.79,674
2.89,822,2.89,732,2.89,720,2.89,632,2.89,678,2.89,700,2.89,744,2.89,786,2.89,702,2.89,674
2.99,822,2.99,732,2.99,720,2.99,632,2.99,678,2.99,700,2.99,744,2.99,786,2.99,702,2.99,674
3.09,822,3.09,732,3.09,720,3.09,632,3.09,678,3.09,700,3.09,744,3.09,786,3.09,702,3.09,674
3.19,822,3.19,732,3.19,720,3.19,632,3.19,678,3.19,700,3.19,744,3.19,786,3.19,702,3.19,674
3.29,822,3.29,732,3.29,720,3.29,632,3.29,678,3.29,700,3.29,744,3.29,786,3.29,702,3.29,674
3.39,822,3.39,732,3.39,720,3.39,632,3.39,678,3.39,700,3.39,744,3.39,786,3.39,702,3.39,674
3.49,822,3.49,732,3.49,720,3.49,632,3.49,678,3.49,700,3.49,744,3.49,786,3.49,702,3.49,674
3.59,822,3.59,732,3.59,720,3.59,632,3.59,678,3.59,700,3.59,742,3.59,786,3.59,702,3.59,674
3.69,822,3.69,732,3.69,720,3.69,632,3.69,678,3.69,700,3.69,742,3.69,786,3.69,702,3.69,674
3.79,822,3.79,732,3.79,720,3.79,632,3.79,678,3.79,700,3.79,742,3.79,786,3.79,702,3.79,674
3.89,822,3.89,732,3.89,720,3.89,631,3.89,678,3.89,700,3.89,742,3.89,786,3.89,702,3.89,674
3.99,822,3.99,732,3.99,720,3.99,631,3.99,678,3.99,700,3.99,742,3.99,786,3.99,702,3.99,674
4.09,822,4.09,732,4.09,720,4.09,631,4.09,678,4.09,700,4.09,742,4.09,786,4.09,702,4.09,674
4.19,822,4.19,732,4.19,718,4.19,631,4.19,678,4.19,700,4.19,742,4.19,786,4.19,702,4.19,674
4.29,822,4.29,732,4.29,718,4.29,631,4.29,678,4.29,700,4.29,742,4.29,786,4.29,702,4.29,674
4.39,822,4.39,732,4.39,718,4.39,631,4.39,678,4.39,700,4.39,742,4.39,786,4.39,702,4.39,674
4.49,822,4.49,732,4.49,718,4.49,631,4.49,678,4.49,700,4.49,742,4.49,786,4.49,702,4.49,674
4.59,822,4.59,732,4.59,718,4.59,631,4.59,678,4.59,700,4.59,742,4.59,786,4.59,702,4.59,674
4.69,822,4.69,732,4.69,718,4.69,631,4.69,678,4.69,700,4.69,742,4.69,786,4.69,702,4.69,674
4.79,822,4.79,732,4.79,718,4.79,631,4.79,678,4.79,700,4.79,742,4.79,786,4.79,702,4.79,674
4.89,822,4.89,732,4.89,718,4.89,631,4.89,678,4.89,700,4.89,742,4.89,786,4.89,702,4.89,674
4.99,822,4.99,732,4.99,718,4.99,631,4.99,678,4.99,700,4.99,742,4.99,786,4.99,702,4.99,674
5.09,822,5.09,732,5.09,718,5.09,631,5.09,678,5.09,700,5.09,742,5.09,786,5.09,702,5.09,674
5.19,822,5.19,732,5.19,718,5.19,631,5.19,678,5.19,700,5.19,742,5.19,786,5.19,702,5.19,674
5.29,822,5.29,732,5.29,718,5.29,631,5.29,678,5.29,700,5.29,742,5.29,786,5.29,702,5.29,674
5.39,822,5.39,732,5.39,718,5.39,631,5.39,678,5.39,700,5.39,742,5.39,786,5.39,702,5.39,674
